datetime,temp_c_max,temp_c_min,temp_c_mean,pressure_hpa_mean,pressure_hpa_min,wind_speed_max,wind_speed_mean,humidity_max,humidity_mean,precip_mm_sum,cloud_cover_mean,temp_c_max_ma3,temp_c_max_ma7,pressure_hpa_mean_ma3,pressure_hpa_mean_ma7,wind_speed_max_ma3,wind_speed_max_ma7,humidity_mean_ma3,humidity_mean_ma7,temp_c_max_lag1,precip_mm_sum_lag1,wind_speed_max_lag1,temp_c_max_lag2,precip_mm_sum_lag2,wind_speed_max_lag2,temp_c_max_lag3,precip_mm_sum_lag3,wind_speed_max_lag3,temp_grad,pressure_grad,sin_doy,cos_doy,temp_range,heat_intensity,pressure_deficit,humidity_range,wind_spike,dry_index,pressure_norm,event_heat,event_cold,event_wind,event_rain,event_extreme,target
2010-01-27,12.20694,8.480347,10.488016,985.7363,985.3396,4.7586093,4.0903897,76.50069,69.382576,1.0745769,0.41220132,13.587972005208334,14.539511544363839,986.7676595052084,988.5665980747768,4.101887226104736,3.255268386432103,73.85940551757812,78.62842123849052,12.524506,0.9450231,5.1628814,16.03247,0.08539277,2.384171,15.826782,0.04727501,2.556462,-0.31756592,0.96173096,0.4482293417404106,0.893918596519257,3.726593,1.7189236,-2.8302699497768344,7.1181107,0.66821957,114.09868,-0.53962296,0,0,0,1,1,0.0
2010-01-28,14.509033,8.534363,12.4635515,989.1783,987.8399,3.476734,2.6876266,77.81722,64.37697,0.0,0.09749204,13.080159505208334,14.5577392578125,986.5630696614584,987.7831246512277,4.466074864069621,3.586527109146118,71.34348805745442,76.10455867222377,12.20694,1.0745769,4.7586093,12.524506,0.9450231,5.1628814,16.03247,0.08539277,2.384171,2.3020935,3.4419556,0.4635502709028509,0.886070621534138,5.9746704,2.0454817,1.3951590401785552,13.440254,0.7891073,212.83588,0.07587748,0,0,0,0,0,0.0
2010-01-29,13.56781,6.1112366,11.0729475,983.7996,982.1493,3.3495514,2.7077436,78.992485,67.199455,0.00020435879,0.12180998,13.427927652994791,14.299342564174108,986.2380777994791,986.7721906389509,3.8616315523783364,3.7671094281332835,66.98633321126302,74.28729793003627,14.509033,0.0,3.476734,12.20694,1.0745769,4.7586093,12.524506,0.9450231,5.1628814,-0.94122314,-5.378662,0.47873384011578846,0.8779600847008882,7.4565735,2.4948626,-2.9725690569196104,11.79303,0.6418078,244.57967,-0.8859504,0,0,0,0,0,0.0
2010-01-30,13.936188,9.199463,12.352763,984.153,983.5886,2.9038415,2.6435058,88.53087,74.05666,0.0,0.39452586,14.004343668619791,14.086247035435267,985.7103068033854,986.7860717773438,3.243375619252523,3.513178655079433,68.5443623860677,72.6236321585519,13.56781,0.00020435879,3.3495514,14.509033,0.0,3.476734,12.20694,1.0745769,4.7586093,0.3683777,0.35339355,0.49377555015997715,0.869589389346611,4.736725,1.5834246,-2.633056640625,14.474205,0.26033568,122.886444,-0.8227555,0,0,0,0,0,0.0
2010-01-31,14.631714,10.8836975,13.165802,983.9234,982.99506,3.6834972,2.3463871,85.62924,71.33573,0.00362007,0.57848,14.045237223307291,13.915522984095983,983.9586791992188,985.908185686384,3.312296708424886,3.6741836752210344,70.86395009358723,71.22100503104073,13.936188,0.0,2.9038415,13.56781,0.00020435879,3.3495514,14.509033,0.0,3.476734,0.6955261,-0.22961426,0.5086709438521044,0.8609610158889943,3.7480164,1.4659119,-1.9847848074776948,14.29351,1.33711,107.43415,-0.86381584,0,0,0,0,0,0.0
2010-02-01,15.02121,7.871704,12.559215,989.42676,986.9006,3.5457435,2.56061,85.70152,70.291115,0.0015375565,0.085946225,14.529703776041666,13.77105712890625,985.8343912760416,985.8560006277902,3.377694050470988,3.8401225975581577,71.89450327555339,70.98763275146484,14.631714,0.00362007,3.6834972,13.936188,0.0,2.9038415,13.56781,0.00020435879,3.3495514,0.38949585,5.503357,0.5234156073655503,0.8520775211013093,7.1495056,2.4619951,3.570757184709805,15.410408,0.9851334,212.40384,0.120310344,0,0,0,0,0,0.0
2010-02-02,15.880737,8.635376,13.216949,991.98535,990.7966,4.3831716,3.625426,83.87948,69.51139,0.0,0.38803056,15.177886962890625,14.250518798828125,988.4451700846354,986.8861083984375,3.8708040714263916,3.728735480989729,70.37941233317058,69.45055716378349,15.02121,0.0015375565,3.5457435,14.631714,0.00362007,3.6834972,13.936188,0.0,2.9038415,0.8595276,2.5585938,0.5380051715382996,0.8429415373547828,7.2453613,2.6637878,5.0992431640625,14.368088,0.7577455,220.90099,0.57784545,0,0,0,0,0,0.0
2010-02-03,15.472595,10.388641,13.486501,987.14484,984.738,3.7912242,3.3057435,82.82214,78.32534,0.44187236,0.8292666,15.458180745442709,14.717041015625,989.5189819335938,987.0873238699777,3.906713088353475,3.5905376161847795,72.70928192138672,70.72809491838727,15.880737,0.0,4.3831716,15.02121,0.0015375565,3.5457435,14.631714,0.00362007,3.6834972,-0.4081421,-4.840515,0.5524353131676196,0.8335557718385699,5.083954,1.9860945,0.05751255580355519,4.4968033,0.4854808,110.19297,-0.2877494,0,0,0,0,0,1.0
2010-02-04,17.017761,13.249512,15.62738,985.7959,981.50464,4.7927246,3.884793,92.51985,88.700066,1.212227,0.96245617,16.123697916666668,15.075430733816964,988.3086954752604,986.6041259765625,4.322373469670613,3.778536285672869,78.84559885660808,74.20282309395927,15.472595,0.44187236,3.7912242,15.880737,0.0,4.3831716,15.02121,0.0015375565,3.5457435,1.545166,-1.348938,0.5667017562911176,0.8239230057575542,3.7682495,1.3903809,-0.8082275390625,3.819786,0.90793157,42.58097,-0.5289704,0,0,0,1,1,0.0
2010-02-05,17.84848,15.244385,16.546337,993.81006,991.4447,3.7525926,3.0770035,93.3362,79.920815,0.1046609,0.6773426,16.779612223307293,15.686955043247767,988.9169311523438,988.0341884068081,4.112180471420288,3.836113589150565,82.3154067993164,76.02016013009208,17.017761,1.212227,4.7927246,15.472595,0.44187236,3.7912242,15.880737,0.0,4.3831716,0.830719,8.01416,0.5808002734538009,0.8140460935082178,2.6040955,1.3021431,5.775870186941916,13.415382,0.6755891,52.288116,0.9041448,0,0,0,0,0,0.0
