datetime,temp_max,temp_min,temp_mean,pressure_mean,pressure_min,wind_max,wind_mean,humidity_max,humidity_mean,precip_total,cloud_mean,temp_max_ma3,temp_max_ma7,temp_mean_ma3,temp_mean_ma7,pressure_mean_ma3,pressure_mean_ma7,wind_max_ma3,wind_max_ma7,humidity_mean_ma3,humidity_mean_ma7,temp_max_grad1,temp_max_grad3,pressure_mean_grad1,pressure_mean_grad3,humidity_mean_grad1,humidity_mean_grad3,temp_trend7,season_sin,season_cos,temp_range,pressure_deficit,event_heat,event_cold,event_wind,event_rain,event_extreme,target
2011-10-05,31.281006,19.272217,27.050089,992.8138,991.4893,3.1443045,2.214785,80.77696,46.083096,9.7313705e-06,0.023063192,31.210276285807293,30.908390590122767,27.345631917317707,27.355051585606166,993.5772298177084,991.5420009068081,2.3313387632369995,3.752477594784328,48.05785878499349,49.981295994349885,-0.12783813,0.69940186,-0.49847412,0.8565674,-0.52801514,-6.063797,0.10160282679966375,-0.9973249731081555,0.07309512989807776,12.008789,1.2717808314731656,0,0,0,0,0,0.0
2011-10-06,31.011292,18.749176,26.829641,992.33105,990.8764,1.9893821,1.0565349,58.952515,39.92055,0.0,0.01605785,31.233713785807293,30.90773664202009,27.106747309366863,27.234505789620535,992.8190307617188,991.9039829799107,2.3778751293818154,3.4515903336661204,44.2049191792806,48.692909240722656,-0.26971436,0.0703125,-0.48272705,-2.2745972,-6.1625443,-11.558819,0.12798200334821558,-0.9959189961471792,0.0902516100310407,12.2621155,0.42707170758933444,0,0,0,0,0,0.0
2011-10-07,30.915802,19.354218,26.469034,989.3698,987.87494,1.5739226,0.98224896,63.645226,45.162308,0.0,0.64989215,31.069366455078125,30.955884660993302,26.782921473185223,27.11928149632045,991.5048828125,991.8542742047991,2.2358697652816772,3.0545619555882046,43.72198486328125,47.42292676653181,-0.0954895,-0.493042,-2.9612427,-3.9424438,5.2417564,-1.448803,0.08185032435825997,-0.994217906893952,0.10738134666416306,11.561584,-2.4844621930803896,0,0,0,0,0,0.0
2011-10-08,27.712769,20.375153,25.074179,991.55707,990.9113,4.5383763,3.1925843,46.411507,39.43281,0.0052354774,0.2624416,29.879954020182293,30.550327845982142,26.124284744262695,26.80538068498884,991.0859781901041,992.2781197684152,2.700560371081034,2.8109141758510043,41.5052235921224,45.83373423985073,-3.2030334,-3.5682373,2.1872559,-1.2567139,-5.729496,-6.650284,-0.3233718872070313,-0.9922222094179324,0.12447926388678869,7.337616,-0.7210518973214448,0,0,0,0,0,0.0
2011-10-09,28.16861,17.152802,24.437906,992.39655,992.1189,2.9738836,2.398583,64.76616,44.522797,0.0,0.0011233375,28.932393391927082,30.205614362444198,25.32703971862793,26.406808035714285,991.1078084309896,992.3408813476562,3.0287275314331055,2.581368718828474,43.03930536905924,44.74457768031529,0.45584106,-2.842682,0.83947754,0.06549072,5.089985,4.6022453,-0.5740879603794634,-0.989932495087353,0.141540295217043,11.015808,0.0556640625,0,0,0,0,0,0.0
2011-10-10,29.513184,18.946442,25.767874,994.40216,993.99023,4.4546337,3.4188201,65.114685,44.098225,0.0,0.00416513,28.464853922526043,30.001643589564733,25.093319574991863,26.15274783543178,992.7852579752604,992.3118111746652,3.988964557647705,2.95349167074476,42.684611002604164,43.690128326416016,1.344574,-1.4026184,2.0056152,5.0323486,-0.424572,-1.0640831,-0.543224879673549,-0.9873494423939864,0.15855938510313475,10.566742,2.090349469866055,0,0,0,0,0,0.0
2011-10-11,31.905304,18.694977,26.65747,994.2632,992.9592,2.3451204,2.023456,56.023937,38.30477,0.0,0.0002885676,29.86236572265625,30.072566441127233,25.621083577473957,26.040884835379465,993.6872965494791,992.4476579938616,3.2578792572021484,3.0028033426829746,42.308597564697266,42.50350843157087,2.3921204,4.1925354,-0.13897705,2.7061157,-5.793453,-1.1280403,-0.13823263985770026,-0.9844738167520923,0.17553149042142777,13.210327,1.8155255998883604,0,0,0,0,0,0.0
2011-10-12,32.423706,17.72232,26.573904,991.96387,990.7293,1.4947996,1.3837161,54.96074,35.157566,0.0,2.3251489e-05,31.280731201171875,30.235809326171875,26.33308283487956,25.972858428955078,993.5430704752604,992.3262416294643,2.7648512522379556,2.767159785543169,39.18685404459635,40.942718505859375,0.5184021,4.2550964,-2.2993164,-0.43267822,-3.1472054,-9.365231,0.2863093784877246,-0.9813064702716093,0.19245158197082995,14.7013855,-0.36237444196433444,0,0,0,0,0,0.0
2011-10-13,32.60733,18.451416,27.22936,990.03076,988.96295,1.8732063,1.4877406,48.642723,33.72589,0.0,0.0,32.312113444010414,30.463814871651785,26.820245107014973,26.02996117728097,992.0859375,991.9976283482143,1.904375433921814,2.7505632298333302,35.729409535725914,40.05776705060686,0.18362427,3.0941467,-1.9331055,-4.371399,-1.431675,-10.372334,0.6511840820312509,-0.9778483415056567,0.20931464596304888,14.155914,-1.9668666294643344,0,0,0,0,0,0.0
2011-10-14,31.485718,17.978912,26.240042,988.1254,987.36346,2.5403166,1.1677939,50.722088,37.34409,0.0,0.015716137,32.17225138346354,30.545231410435267,26.681102116902668,25.99724796840123,990.0400187174479,991.8198590959821,1.9694408178329468,2.88861950806209,35.40918223063151,38.94087873186384,-1.1216125,-0.41958618,-1.9053345,-6.1377563,3.6181984,-0.9606819,0.825243268694197,-0.9741004551724206,0.22611568550828803,13.506805,-3.6944318498883604,0,0,0,0,0,0.0
